"%1$s incl tax.","%1$s incl tax."
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"x","x"
"Year Range","Year Range"
"Text Area","Zone de texte"
"Zoom Out","Zoom arrière"
"Zoom In","Zoom avant"
"[GLOBAL]","[GLOBAL]"
