"(\\t for tab)","(\\t pour une tabulation)"
"Subpackages","Sous-paquets"
"Subtotal","Sous-total"
"Subtotal Amount","Sous-total"
"Summary","Résumé"
"Summary:","Résumé :"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solor card issue number: %s","Switch/Solor card issue number : %s"
"Switch/Solor card start Date: %s/%s","Switch/Solor card start Date : %s/%s"
"System","Système"
"Tag was successfully deleted","Tag supprimé avec succès"
"Tag was successfully saved","Tag sauvegardé avec succès"
"Tags","Tags"
"Target Path","Chemin cible"
"Tax","TVA"
"Tb","To"
"Template","Gabarit"
"Template Content","Contenu du gabarit"
"Template Information","Informations gabarit"
"Template Name","Nom du gabarit"
"Template Subject","Sujet du gabarit"
"Template Type","Type de gabarit"
"The information in this tab has been changed.","Les informations dans cet onglet ont été changées"
"The new password have sent to your email address. Please check your email and click back to login.","Le nouveau mot de passe a été envoyé à votre adresse mail. Veuillez consulter votre boîte mail et cliquez sur Retour à l'identification."
"This account is","Ce compte est"
"This attribute shares the same value in all the stores","Cet attribut partage les mêmes valeurs dans tous les magasins."
"This is a required field.","Ce champ est obligatoire"
"This tab contains invalid data. Please solve the problem before saving.","Cet onglet contient des données non valides. Veuillez les corriger avant de sauvegarder."
"This user no longer exists","Cet utilisateur n'existe plus"
"Thumbnail","Vignette"
"To","Et"
"to","à"
"Toggle Editor","Changer d'éditeur"
"Tools","Outils"
"Top 5 Search Terms","5 termes les plus recherchés"
"Total","Total"
"Total %d records found","Nombre d'enregistrements : %d"
"Total Amount","Montant total"
"Total Invoiced","Total facturé"
"Total of %d record(s) were successfully deleted","%d enregistrement(s) ont bien été effacés"
"Total of %d record(s) were successfully updated","%d enregistrement(s) ont bien été mis à jour"
"Total Order Amount","Montant total de commande"
"Total Refunded","Total remboursé"
"Track the order","Suivre la commande"
"Track this shipment","Suivre cette livraison"
"Tracking number %s for %s assigned","Numéro de suivi %s assigné à %s"
"Transactional Emails","Emails transactionnels"
"Translations","Traductions"
"Type","Type"
"Type:","Type :"
"Unable to find a poll to delete","Impossible de trouver un sondage à supprimer"
"Unable to find a tag to delete","Impossible de trouver un tag à supprimer"
"Unable to find a user to delete","Impossible de trouver un utilisateur à supprimer"
"Unable to get product id.","Impossible d'obtenir l'id produit"
"Unable to initialize import model","Impossible d'initialiser le modèle d'import"
"Uninstall","Désinstaller"
"Uninstalling $pkg, please wait...","Désinstallation de $pkg en cours, veuillez patienter..."
"Uninstalling selected packages, please wait...","Désinstallation des paquets sélectionnés en cours, veuillez patienter..."
"Unknown","Inconnu"
"Unknown error","Erreur inconnue"
"Unselect All","Tout décocher"
"Unselect Visible","Décocher éléments visibles"
"Updated At","Mis à jour le"
"Upgrade","Mettre à jour"
"Upgrade All Available Packages","Mettre à jour tous les paquets disponibles"
"Upgrade all available packages","Mettre à jour tous les paquets disponibles"
"Upgrade all packages","Mettre à jour tous les paquets"
"Upgrading $pkg, please wait...","Mise à jour de $pkg en cours, veuillez patienter..."
"Upgrading all available packages, please wait...","Mise à jour de tous les paquets disponibles, veuillez patienter..."
"Upgrading all packages, please wait...","Mise à jour de tous les paquets, veuillez patienter..."
"Upgrading selected packages, please wait...","Mise à jour des paquets sélectionnés, veuillez patienter..."
"Upload and Install","Télécharger et installer"
"Upload File","Télécharger le fichier"
"Upload Files","Télécharger les fichiers"
"Upload HTTP Error","Erreur HTTP de téléchargement"
"Upload I/O Error","Erreur Entrée/Sortie de téléchargement"
"Upload import file","Télécharger le fichier d'import"
"Upload Local File","Télécharger le fichier local"
"Upload local file:","Télécharger le fichier local :"
"Upload Security Error","Erreur de sécurité de téléchargement"
"Urlrewrite was deleted","La réécriture d'URL a été supprimée"
"Urlrewrite was successfully saved","La réécriture d'URL a bien été sauvegardée"
"Use default","Utiliser la valeur par défaut"
"Use Default Value","Utiliser la valeur par défaut"
"Use website","Utiliser le site web"
"User","Utilisateur"
"User Email","Email utilisateur"
"User ID","ID utilisateur"
"User Info","Infos utilisateurs"
"User Information","Informations utilisateur"
"User name","Nom de l'utilisateur"
"User Name","Nom de l'utilisateur"
"User Name:","Nom d'utilisateur :"
"User Role","Rôle utilisateur"
"User Roles","Rôles utilisateurs"
"User Roles Information","Informations rôle utilisateur"
"User was successfully deleted","Utilisateur supprimé avec succès"
"User was successfully saved","Utilisateur sauvegardé avec succès"
"User with the same User Name or Email aleady exists","Un utilisateur avec le même nom d'utilisateur ou adresse email existe déjà"
"Users","Utilisateurs"
"Value Delimiter:","Délimiteur de valeurs :"
"Version","Version"
"Version:","Version :"
"View","Voir"
"View Actions XML","Voir code XML des actions"
"View Statistics for","Voir les statistiques pour"
"Visibility:","Visibilité :"
"Warning: Please don't close window during importing/exporting data","Attention : ne fermez pas cette fenêtre pendant l'import/export de données"
"Watermark File for %s","Fichier de filigrane pour %s"
"Website","Site web"
"website(%s) scope","portée du site web(%s)"
"What is this?","Aide ?"
"Wishlist","Liste d'envies"
"Wishlist Report","Liste d'envies"
"Wrong column format","Format de colonne non valide"
"Wrong tab configuration","Mauvaise configuration d'onglet"
"XML","XML"
"Yes","Oui"
"Yes (only price with tax)","Oui (prix avec taxe seulement)"
"You can not delete self assigned roles.","Vous ne pouvez pas supprimer des rôles auto-assignés"
"You cannot delete account of yourself","Vous ne pouvez pas supprimer votre propre compte"
"You have not enought permissions to login.","Vous n'avez pas assez de droits pour ouvrir une session"
"You have not enought permissions to use this functionality.","Vous n'avez pas la permission d'utiliser cette fonctionnalité."
"You need specify order items","Vous devez spécifier les articles de la commande"
"You successfully logged out.","Déconnexion réussie !"
"Your Account has been deactivated.","Votre compte a été désactivé."
"Your answers contain duplicates.","Vos réponses contiennent des doublons."
"YTD","Depuis le début de l'année"
"Zip/Postal Code","Code postal"
"Zip/Postal Code:","Code postal :"
